iter	Passed	Remaining
870	12142	1798
871	12156	1784
872	12170	1770
873	12184	1756
874	12198	1742
875	12211	1728
876	12225	1714
877	12239	1700
878	12253	1686
879	12266	1672
880	12281	1658
881	12297	1645
882	12311	1631
883	12325	1617
884	12339	1603
885	12352	1589
886	12366	1575
887	12381	1561
888	12394	1547
889	12408	1533
890	12421	1519
891	12435	1505
892	12449	1491
893	12463	1477
894	12477	1463
895	12490	1449
896	12504	1435
897	12519	1422
898	12534	1408
899	12548	1394
900	12563	1380
901	12577	1366
902	12591	1352
903	12604	1338
904	12618	1324
905	12632	1310
906	12645	1296
907	12659	1282
908	12673	1268
909	12686	1254
910	12701	1240
911	12715	1226
912	12730	1213
913	12745	1199
914	12759	1185
915	12773	1171
916	12788	1157
917	12801	1143
918	12815	1129
919	12829	1115
920	12842	1101
921	12856	1087
922	12870	1073
923	12883	1059
924	12896	1045
925	12910	1031
926	12924	1017
927	12937	1003
928	12951	989
929	12964	975
930	12979	961
931	12993	948
932	13008	934
933	13022	920
934	13035	906
935	13048	892
936	13062	878
937	13075	864
938	13090	850
939	13104	836
940	13118	822
941	13132	808
942	13146	794
943	13160	780
944	13173	766
945	13187	752
946	13201	738
947	13215	724
948	13229	710
949	13244	697
950	13258	683
951	13272	669
952	13287	655
953	13301	641
954	13316	627
955	13330	613
956	13344	599
957	13358	585
958	13371	571
959	13385	557
960	13399	543
961	13412	529
962	13426	515
963	13441	501
964	13456	488
965	13471	474
966	13484	460
967	13500	446
968	13513	432
969	13527	418
970	13541	404
971	13555	390
972	13569	376
973	13583	362
974	13597	348
975	13611	334
976	13624	320
977	13639	306
978	13653	292
979	13667	278
980	13682	265
981	13696	251
982	13710	237
983	13724	223
984	13737	209
985	13751	195
986	13765	181
987	13779	167
988	13793	153
989	13807	139
990	13821	125
991	13834	111
992	13848	97
993	13862	83
994	13875	69
995	13891	55
996	13906	41
997	13921	27
998	13934	13
999	13948	0
